state,state_name,date,PRCP,SNOW,SNWD,TMAX,TMIN
TN,Tennessee,2023-03-05,81.37815034310668,0.0,0.0,204.5371137768084,74.28395129043984
TN,Tennessee,2023-03-12,34.702756892230575,0.0,0.0,163.62955288985825,43.580279898218826
TN,Tennessee,2023-03-19,25.900613275613278,0.021494708994708997,0.12857142857142856,107.58189749182115,-22.522973464194838
TN,Tennessee,2023-03-26,76.25653018529587,0.0,0.0,174.22019265721553,43.08893129770992
TN,Tennessee,2023-04-02,31.36391369047619,0.0,0.0,205.74934065934067,47.114432234432236
TN,Tennessee,2023-04-09,60.99133800759567,0.0,0.0,200.5905315614618,92.78209671465486
TN,Tennessee,2023-04-16,9.991669131420686,0.0,0.0,233.1881497637223,68.37862595419847
TN,Tennessee,2023-04-23,44.3669782841562,0.0,0.0,231.1829487179487,69.00091575091575
TN,Tennessee,2023-04-30,30.77939708141321,0.0,0.0,182.21851648351648,62.82441391941392
TN,Tennessee,2023-05-07,3.521413874191652,0.0009316770186335404,0.0,205.1190294438386,69.33553253362415
TN,Tennessee,2023-05-14,93.42843442932728,0.0,0.0,265.95477994227997,155.2213924963925
TN,Tennessee,2023-05-21,60.376505673552515,0.0,0.0,261.7319859726836,152.0800295311923
TN,Tennessee,2023-05-28,9.294559228650138,0.0,0.0,256.10241786637135,123.43231819859727
TN,Tennessee,2023-06-04,7.5916936671575845,0.0,0.0,279.58368131868133,144.39989010989012
TN,Tennessee,2023-06-11,12.057516725698543,0.0,0.0,283.0564468864469,137.95882783882786
TN,Tennessee,2023-06-18,40.82120271033315,0.0,0.0,272.6932447397564,145.29241417497232
TN,Tennessee,2023-06-25,68.4858619047619,0.0,0.0,268.09739047619047,173.98828571428572
TN,Tennessee,2023-07-02,65.29593507343999,0.0,0.0,306.8935941043084,183.92904383975812
TN,Tennessee,2023-07-09,56.596341692495535,0.0,0.0,307.4479565054368,199.4165354330709
TN,Tennessee,2023-07-16,38.29096555618295,0.0,0.0,299.8356205474316,186.42454068241472
TN,Tennessee,2023-07-23,108.78660130718954,0.0,0.0,292.76184895833336,189.6398623511905
TN,Tennessee,2023-07-30,23.074620359955006,0.0,0.0,322.34518185226847,200.18762654668166
TN,Tennessee,2023-08-06,70.84329634766527,0.0,0.0,293.37244370616463,190.92425249169435
TN,Tennessee,2023-08-13,104.92472455648925,0.0,0.0,289.0721168154762,193.31253720238095
TN,Tennessee,2023-08-20,37.89006898534061,0.0,0.0,291.79348468069395,169.62624584717608
TN,Tennessee,2023-08-27,19.1437434128581,0.0,0.0,334.1421875,209.7579613095238
TN,Tennessee,2023-09-03,30.133777399848828,0.0,0.0,284.49880952380954,172.1132967032967
TN,Tennessee,2023-09-10,20.537165623221398,0.0,0.0,294.15861941675894,178.2979881875231
TN,Tennessee,2023-09-17,18.042725129655825,0.0,0.0,268.6935897435897,147.68349816849815
TN,Tennessee,2023-09-24,4.719093211752786,0.0,0.0,269.0272161172161,121.96827838827839
TN,Tennessee,2023-10-01,27.433266533066135,0.0,0.0,284.53578698655036,145.2369683751363
TN,Tennessee,2023-10-08,12.863981560688147,0.0,0.0,254.0275824175824,116.52692307692308
TN,Tennessee,2023-10-15,2.8948371956585506,0.0,0.0,217.48903654485048,87.45788113695092
TN,Tennessee,2023-10-22,9.763592465098489,0.027401477832512313,0.17097862767154107,191.52624542124542,59.221246819338425
TN,Tennessee,2023-10-29,6.73981288981289,0.0,0.0,250.32677655677657,106.71175824175823
TN,Tennessee,2023-11-05,14.739882121807467,0.0,0.0,158.17256493506494,1.706168831168831
TN,Tennessee,2023-11-12,18.21990532433446,0.0,0.0,217.68277417027414,76.55272366522367
TN,Tennessee,2023-11-19,3.4480506545247582,0.0,0.0,193.82766955266956,49.8166847041847
TN,Tennessee,2023-11-26,68.57861784089854,0.0,0.0,142.53931256713213,26.21374865735768
TN,Tennessee,2023-12-03,49.34731677827381,0.007680491551459293,0.13736263736263737,119.03670634920636,2.8540223665223663
TN,Tennessee,2023-12-10,46.55342705670737,0.07435976550447393,0.6809881847475834,138.41199494949495,14.048069985569985
TN,Tennessee,2023-12-17,14.219186827956989,0.023399014778325126,0.30897009966777406,127.24840659340659,-18.83967032967033
TN,Tennessee,2023-12-24,5.825058548009368,0.026221264367816095,0.025879917184265012,114.54470284237726,-18.36919527500923
TN,Tennessee,2023-12-31,36.314451261077025,0.04438662882371492,0.28877551020408165,104.53037574404762,18.444605654761904
TN,Tennessee,2024-01-07,21.75807993880283,0.0726530612244898,0.8085419734904271,66.65893772893773,-28.849908424908428
TN,Tennessee,2024-01-14,104.39814135140222,1.1217009916094585,3.9669195111672986,91.1808608058608,-22.550146520146523
TN,Tennessee,2024-01-21,25.11376065710127,20.841568370467453,104.76326291079812,-28.990021810250816,-140.2997818974918
TN,Tennessee,2024-01-28,92.6618148253337,0.0,21.619201228878648,120.23229734641949,25.576154125772444
TN,Tennessee,2024-02-04,6.259755977079629,0.1672001347708895,3.3329081632653064,125.89903329752953,-6.0738997113997115
TN,Tennessee,2024-02-11,82.35068027210885,0.024578313253012046,1.0952380952380951,156.857342784442,33.152162849872774
TN,Tennessee,2024-02-18,54.11397849462365,0.6438172938172939,2.5046142488002956,129.46580586080586,-3.761153846153846
TN,Tennessee,2024-02-25,36.89037121862773,0.03275920297196893,0.5497835497835498,153.36743589743588,-1.1882600732600732
TN,Tennessee,2024-03-03,29.190925250257273,0.0,0.07983193277310925,164.57604617604616,37.91751443001443
TN,Tennessee,2024-03-10,56.05114116652578,0.01652089407191448,0.05477980665950591,182.11350418029807,86.42508178844056
TN,Tennessee,2024-03-17,61.927619985001876,0.0,0.13636363636363635,197.76495819701927,40.18273355143584
TN,Tennessee,2024-03-24,24.62939017504235,0.0,0.0,164.90156306797527,14.250690657942567
TN,Tennessee,2024-03-31,49.33704576976422,0.0,0.0,194.71551282051283,49.401181247692875
